strategy,fold,n,prevalence,auroc,auprc,brier,log_loss,threshold,sensitivity,specificity,precision,alerts_per_100,false_negatives,true_positives,false_positives,true_negatives
winsor_median_indicator,2,1680,0.14226190476190476,0.819099358592795,0.4080525900195144,0.10088136314654218,0.32613358467413034,0.5,0.14644351464435146,0.9770992366412213,0.5147058823529411,4.0476190476190474,204,35,33,1408
winsor_median_indicator,3,1680,0.14226190476190476,0.8386551645039619,0.4669075909238513,0.09623911659146761,0.31226189745623195,0.5,0.17573221757322174,0.9826509368494102,0.6268656716417911,3.988095238095238,197,42,25,1416
winsor_median_indicator,4,1680,0.14226190476190476,0.8451418267765005,0.4843735870137311,0.09496090193700495,0.3079208460420605,0.5,0.18410041841004185,0.9847328244274809,0.6666666666666666,3.9285714285714284,195,44,22,1419
winsor_median_indicator,5,1680,0.14226190476190476,0.8409548227491949,0.47216442259086955,0.09574925996244141,0.3100668138291612,0.5,0.16317991631799164,0.9826509368494102,0.609375,3.8095238095238093,200,39,25,1416
physiologic_median_indicator,1,1680,0.14226190476190476,0.8350517858646511,0.4877258477481665,0.09527125140697364,0.3118323955694073,0.5,0.17573221757322174,0.9805690492713394,0.6,4.166666666666667,197,42,28,1413
physiologic_median_indicator,2,1680,0.14226190476190476,0.8253711538070667,0.41842389642917355,0.09972779927377401,0.3219986592339203,0.5,0.17154811715481172,0.9764052741151977,0.5466666666666666,4.464285714285714,198,41,34,1407
physiologic_median_indicator,3,1680,0.14226190476190476,0.8388380918643783,0.4730292130393779,0.09590619754659602,0.31218862216618526,0.5,0.1506276150627615,0.9819569743233866,0.5806451612903226,3.6904761904761907,203,36,26,1415
physiologic_median_indicator,4,1680,0.14226190476190476,0.8485303383575445,0.46737675750602287,0.0953195890476566,0.3074255356232085,0.5,0.16736401673640167,0.9784871616932685,0.5633802816901409,4.226190476190476,199,40,31,1410
physiologic_median_indicator,5,1680,0.14226190476190476,0.840937401095822,0.4790295697147086,0.09560847947864898,0.3100509158528747,0.5,0.17154811715481172,0.9847328244274809,0.6507936507936508,3.75,198,41,22,1419
physiologic_winsor_indicator,1,1680,0.14226190476190476,0.8318549124707098,0.4799103867111795,0.09590695947414703,0.31393413197220693,0.5,0.20920502092050208,0.981263011797363,0.6493506493506493,4.583333333333333,189,50,27,1414
physiologic_winsor_indicator,2,1680,0.14226190476190476,0.8237306147811115,0.41473485072520855,0.10001291247854488,0.32319885420357697,0.5,0.16736401673640167,0.9764052741151977,0.5405405405405406,4.404761904761905,199,40,34,1407
physiologic_winsor_indicator,3,1680,0.14226190476190476,0.8402463421786939,0.46901108364228955,0.09596616633517732,0.31233264690213686,0.5,0.15481171548117154,0.9847328244274809,0.6271186440677966,3.511904761904762,202,37,22,1419
physiologic_winsor_indicator,4,1680,0.14226190476190476,0.8509519481763883,0.4772865662958053,0.0947747629871336,0.3057302791750511,0.5,0.17154811715481172,0.9847328244274809,0.6507936507936508,3.75,198,41,22,1419
physiologic_winsor_indicator,5,1680,0.14226190476190476,0.8323311043295712,0.46363828608637636,0.09723271071528733,0.3159162017909497,0.5,0.15481171548117154,0.9868147120055517,0.6607142857142857,3.3333333333333335,202,37,19,1422
