model,parameter,split,readout,smearing_factor,n,mae_days,rmse_days,median_ae_days,r2,spearman,true_sum_bed_days,predicted_sum_bed_days,sum_bias_percent
lasso,0.05,test,smeared,1.3198725283683361,1775,7.396441921611246,12.281897658365011,5.4273702534084975,0.10844676959960609,0.44369771680582587,20797.0,20103.58593273556,-3.334202371805736
lasso,0.1,validation,direct,1.0,1774,7.029353107797458,12.436559168025184,4.173683905384236,-0.03033466414883712,0.3791250768785939,20492.0,14388.26628091906,-29.785934604142785
lasso,0.1,validation,smeared,1.3572148369403363,1774,7.5510837738443755,11.873193288462257,5.819811020518338,0.06089769541054413,0.3791250768785939,20492.0,20161.66759504386,-1.6120066609220258
lasso,0.1,test,direct,1.0,1775,7.2011285614452705,13.174496706669713,4.121676732008183,-0.025851259544327876,0.3968331524500886,20797.0,14429.843041637467,-30.615747263367474
lasso,0.1,test,smeared,1.3572148369403363,1775,7.730864284814155,12.589517342043356,5.939203664121713,0.06322672931481388,0.3968331524500886,20797.0,20218.453406399734,-2.7818752396993105
hist_gradient_boosting,1.0,validation,direct,1.0,1774,6.374199547921644,11.556696262358004,3.557976376440747,0.11029664399641115,0.5235828877977711,20492.0,15380.08025794127,-24.94592886032954
hist_gradient_boosting,1.0,validation,smeared,1.1961810707135716,1774,6.553543243066908,11.167431296619649,4.316612786353161,0.16922310613794933,0.5235828877977711,20492.0,18745.38609005073,-8.523394055969494
hist_gradient_boosting,1.0,test,direct,1.0,1775,6.6580706453189356,12.388420391479993,3.7719923433095435,0.09291455512430624,0.5073630619820104,20797.0,15655.535017093142,-24.72214734291897
hist_gradient_boosting,1.0,test,smeared,1.1961810707135716,1775,6.917514031153557,12.035898508341084,4.3626696491900745,0.14380366713334325,0.5073630619820104,20797.0,19075.076039856875,-8.279674761471007
random_forest,5.0,validation,direct,1.0,1774,6.445563095366341,11.782963650587563,3.5857271972039997,0.0751167668954007,0.5134710038913474,20492.0,15098.077897213821,-26.322087169559726
random_forest,5.0,validation,smeared,1.0777503025478292,1774,6.468391559978595,11.582718947650646,3.840226152033215,0.10628537008337369,0.5134710038913474,20492.0,16409.887058332737,-19.920519918345025
random_forest,5.0,test,direct,1.0,1775,6.723275916595455,12.513647908025378,3.6938521807444893,0.07448344400671059,0.5058420851962402,20797.0,15313.453859997047,-26.3670055296579
random_forest,5.0,test,smeared,1.0777503025478292,1775,6.755716365715635,12.316681739000167,4.022091597724053,0.1033896073729631,0.5058420851962402,20797.0,16642.086317686437,-19.978428053630633
random_forest,15.0,validation,direct,1.0,1774,6.457174643505783,11.799170611651956,3.710084978360205,0.07257074269775632,0.5072213452506781,20492.0,15088.424040672839,-26.36919753722019
random_forest,15.0,validation,smeared,1.1621579966754534,1774,6.572349732258199,11.436963926544383,4.1186245678051,0.1286365622024721,0.5072213452506781,20492.0,17822.800942200352,-13.025566356625257
random_forest,15.0,test,direct,1.0,1775,6.757685728236405,12.565640675504788,3.762200227255031,0.06677663711430482,0.49675617028370694,20797.0,15285.683391039816,-26.500536658942078
random_forest,15.0,test,smeared,1.1621579966754534,1775,6.890597781575003,12.213214963690385,4.3003645973679925,0.11839035701179568,0.49675617028370694,20797.0,18052.20963164501,-13.198011099461407
training_median,0.0,validation,direct,1.0,1774,7.3382187147688835,12.756411832527093,4.0,-0.08401400695748595,,20492.0,14192.0,-30.74370486043334
training_median,0.0,test,direct,1.0,1775,7.52169014084507,13.527999133773637,4.0,-0.08164180218787687,,20797.0,14200.0,-31.720921286724046
