model,preprocess,feature_group,feature_count,horizon_hours,split,threshold,n,prevalence,auroc,auprc,brier,log_loss,sensitivity,specificity,precision,f1
hist_gradient_boosting,raw_median,static_only,8,24,test,0.1590110637133209,1800,0.14222222222222222,0.700272476117228,0.2536383162074199,0.11493988948548474,0.3782164710960039,0.6484375,0.6489637305699482,0.2344632768361582,0.34439834024896265
hist_gradient_boosting,raw_median,static_only,8,48,validation,0.1590110637133209,1800,0.14222222222222222,0.6918995911593264,0.25480878949783914,0.11514784545317105,0.3806672850664894,0.6640625,0.6560880829015544,0.24251069900142652,0.3552769070010449
hist_gradient_boosting,raw_median,static_only,8,48,test,0.1590110637133209,1800,0.14222222222222222,0.700272476117228,0.2536383162074199,0.11493988948548474,0.3782164710960039,0.6484375,0.6489637305699482,0.2344632768361582,0.34439834024896265
hist_gradient_boosting,raw_median,clinical_values_no_indicator,267,6,validation,0.16965644899887916,1800,0.14222222222222222,0.7837951343911916,0.3883439785245379,0.10485500241800681,0.34202215543081027,0.6640625,0.7545336787564767,0.30965391621129323,0.422360248447205
hist_gradient_boosting,raw_median,clinical_values_no_indicator,267,6,test,0.16965644899887916,1800,0.14222222222222222,0.7978869818652851,0.37192020541187254,0.10540829176229437,0.33866850915948804,0.6328125,0.783678756476684,0.32661290322580644,0.4308510638297872
hist_gradient_boosting,raw_median,clinical_values_no_indicator,267,12,validation,0.12296044283143097,1800,0.14222222222222222,0.8160242268458548,0.43344545489429376,0.10004962618731737,0.3263650652603426,0.8359375,0.6541450777202072,0.28609625668449196,0.4262948207171315
hist_gradient_boosting,raw_median,clinical_values_no_indicator,267,12,test,0.12296044283143097,1800,0.14222222222222222,0.825969478626943,0.4080313158701914,0.10062455650059655,0.3248126943362877,0.828125,0.6813471502590673,0.30113636363636365,0.44166666666666665
hist_gradient_boosting,raw_median,clinical_values_no_indicator,267,24,validation,0.1131626385722482,1800,0.14222222222222222,0.8444229679404145,0.4942686341380223,0.09393390137007018,0.3063217897594657,0.8671875,0.6755181347150259,0.3070539419087137,0.45352400408580185
hist_gradient_boosting,raw_median,clinical_values_no_indicator,267,24,test,0.1131626385722482,1800,0.14222222222222222,0.8467834156411916,0.5160124280746389,0.09317543102530998,0.30428678635896733,0.828125,0.697538860103627,0.3122238586156112,0.453475935828877
hist_gradient_boosting,raw_median,clinical_values_no_indicator,267,48,validation,0.17155611486151323,1800,0.14222222222222222,0.8744940090673575,0.5694374142932185,0.086349018626533,0.28181959799900075,0.7734375,0.8264248704663213,0.4248927038626609,0.5484764542936288
hist_gradient_boosting,raw_median,clinical_values_no_indicator,267,48,test,0.17155611486151323,1800,0.14222222222222222,0.8810643013277202,0.5917700269804247,0.08465140488635026,0.2762228180164986,0.74609375,0.8277202072538861,0.4179431072210066,0.5357643758765779
hist_gradient_boosting,raw_median,clinical_values_plus_indicator,267,6,validation,0.179211086697378,1800,0.14222222222222222,0.7837091159326424,0.3761619306681808,0.10535590488642088,0.34295281594022486,0.66015625,0.7668393782383419,0.31947069943289225,0.4305732484076433
hist_gradient_boosting,raw_median,clinical_values_plus_indicator,267,6,test,0.179211086697378,1800,0.14222222222222222,0.8024434302137305,0.3779633547020015,0.10448023888277141,0.336008683559647,0.640625,0.7869170984455959,0.332657200811359,0.4379172229639519
hist_gradient_boosting,raw_median,clinical_values_plus_indicator,267,12,validation,0.14284557461506728,1800,0.14222222222222222,0.81884765625,0.4369645467513253,0.09968657733938001,0.3243275391269214,0.80078125,0.7104922279792746,0.31441717791411045,0.45154185022026433
hist_gradient_boosting,raw_median,clinical_values_plus_indicator,267,12,test,0.14284557461506728,1800,0.14222222222222222,0.8299541572215027,0.42068148510924724,0.09988388876229035,0.32168120951116924,0.76953125,0.7357512953367875,0.3256198347107438,0.45760743321718933
