model,horizon_hours,subgroup_type,subgroup_level,threshold,n,prevalence,auroc,auprc,brier,log_loss,sensitivity,specificity,precision,f1
hist_gradient_boosting,6,年龄,≥80岁,0.1929099730123538,409,0.23471882640586797,0.73738684771033,0.4135870451294603,0.1619648704305459,0.4838848488678784,0.6979166666666666,0.65814696485623,0.3850574712643678,0.4962962962962963
hist_gradient_boosting,12,ICU类型,CCU,0.1200575728878339,277,0.17328519855595667,0.8215975254730714,0.48560081471518124,0.11789127689931331,0.37166437404991515,0.75,0.7292576419213974,0.3673469387755102,0.4931506849315068
hist_gradient_boosting,12,ICU类型,CSRU,0.1200575728878339,372,0.026881720430107527,0.8295580110497238,0.110506590169328,0.028016482223978133,0.12050100105944486,0.5,0.8977900552486188,0.11904761904761904,0.19230769230769232
hist_gradient_boosting,12,ICU类型,MICU,0.1200575728878339,627,0.19298245614035087,0.7676150654950511,0.4128158327767733,0.1349252372916809,0.42019600634381793,0.8512396694214877,0.4980237154150198,0.28851540616246496,0.4309623430962343
hist_gradient_boosting,12,ICU类型,SICU,0.1200575728878339,524,0.14694656488549618,0.8416862779278886,0.47006107418429277,0.09853342548307772,0.3192551946599118,0.8311688311688312,0.680089485458613,0.30917874396135264,0.4507042253521127
hist_gradient_boosting,12,性别,女性,0.1200575728878339,772,0.1489637305699482,0.7928396532327443,0.3891245412439076,0.1086572925191633,0.3492577015359209,0.8173913043478261,0.6149162861491628,0.27089337175792505,0.4069264069264069
hist_gradient_boosting,12,性别,男性,0.1200575728878339,1025,0.1375609756097561,0.8567440069317416,0.4682112122925409,0.0930628958572663,0.30107691108601364,0.8085106382978723,0.7262443438914027,0.3202247191011236,0.45875251509054327
hist_gradient_boosting,12,性别,未知,0.1200575728878339,3,0.0,,,,,,,,
hist_gradient_boosting,12,年龄,<45岁,0.1200575728878339,215,0.07441860465116279,0.8702889447236181,0.5593952640859363,0.04982125705716593,0.186813589169476,0.75,0.8542713567839196,0.2926829268292683,0.42105263157894735
hist_gradient_boosting,12,年龄,45–64岁,0.1200575728878339,581,0.09294320137693632,0.8760981094946939,0.4103334231117886,0.06769784634630874,0.2330055054786103,0.7962962962962963,0.7533206831119544,0.24855491329479767,0.3788546255506608
hist_gradient_boosting,12,年龄,65–79岁,0.1200575728878339,595,0.15126050420168066,0.7977337733773378,0.43922915664121126,0.10659929609692695,0.3463269275479016,0.7888888888888889,0.6415841584158416,0.28174603174603174,0.4152046783625731
hist_gradient_boosting,12,年龄,≥80岁,0.1200575728878339,409,0.23471882640586797,0.7504659211927582,0.418091502663994,0.1609707913234198,0.48147770107529636,0.8541666666666666,0.5015974440894568,0.3445378151260504,0.49101796407185627
hist_gradient_boosting,24,ICU类型,CCU,0.1027694750123149,277,0.17328519855595667,0.8296033478893741,0.5353279700592878,0.11317098984102748,0.3602565755431009,0.7083333333333334,0.7379912663755459,0.3617021276595745,0.4788732394366197
hist_gradient_boosting,24,ICU类型,CSRU,0.1027694750123149,372,0.026881720430107527,0.9193370165745858,0.2618802980249801,0.02399092102076491,0.10098306724499025,0.9,0.8784530386740331,0.16981132075471697,0.2857142857142857
hist_gradient_boosting,24,ICU类型,MICU,0.1027694750123149,627,0.19298245614035087,0.8077124097605592,0.5191125436064282,0.12451797920982034,0.38988315096193743,0.9090909090909091,0.5197628458498024,0.311614730878187,0.4641350210970464
hist_gradient_boosting,24,ICU类型,SICU,0.1027694750123149,524,0.14694656488549618,0.8590313489642348,0.5741563239621569,0.09024287698312308,0.2979791397157906,0.8311688311688312,0.6666666666666666,0.3004694835680751,0.4413793103448276
hist_gradient_boosting,24,性别,女性,0.1027694750123149,772,0.1489637305699482,0.8303752233472306,0.5005658933503206,0.0997196604510143,0.3233169185235684,0.8608695652173913,0.6164383561643836,0.28205128205128205,0.4248927038626609
hist_gradient_boosting,24,性别,男性,0.1027694750123149,1025,0.1375609756097561,0.8752366740476877,0.55033598904067,0.08643254135020764,0.2809505487694484,0.8368794326241135,0.7262443438914027,0.3277777777777778,0.47105788423153694
hist_gradient_boosting,24,性别,未知,0.1027694750123149,3,0.0,,,,,,,,
hist_gradient_boosting,24,年龄,<45岁,0.1027694750123149,215,0.07441860465116279,0.9001256281407035,0.5465736630014156,0.048768660794981315,0.17593171623117546,0.8125,0.8190954773869347,0.2653061224489796,0.4
hist_gradient_boosting,24,年龄,45–64岁,0.1027694750123149,581,0.09294320137693632,0.8900836320191159,0.5362039187089755,0.06112066640522236,0.21285173144682518,0.8148148148148148,0.7476280834914611,0.24858757062146894,0.38095238095238093
hist_gradient_boosting,24,年龄,65–79岁,0.1027694750123149,595,0.15126050420168066,0.8178217821782178,0.48396993264379773,0.10300117887379188,0.33344901651780817,0.8111111111111111,0.6514851485148515,0.2931726907630522,0.4306784660766962
hist_gradient_boosting,24,年龄,≥80岁,0.1027694750123149,409,0.23471882640586797,0.8106030351437699,0.5597379740556206,0.14266737561648327,0.43535510395203025,0.90625,0.5175718849840255,0.36554621848739494,0.5209580838323353
hist_gradient_boosting,48,ICU类型,CCU,0.1029612883717615,277,0.17328519855595667,0.8568959243085881,0.5637853063842069,0.10692585282654586,0.34066284207811315,0.8125,0.7248908296943232,0.38235294117647056,0.52
hist_gradient_boosting,48,ICU类型,CSRU,0.1029612883717615,372,0.026881720430107527,0.9585635359116021,0.28607493858662664,0.022794909428636743,0.0882184301746568,1.0,0.9088397790055248,0.23255813953488372,0.37735849056603776
hist_gradient_boosting,48,ICU类型,MICU,0.1029612883717615,627,0.19298245614035087,0.838009995753438,0.6206905751051691,0.1117592347631402,0.3587712784091513,0.8512396694214877,0.6027667984189723,0.33881578947368424,0.48470588235294115
hist_gradient_boosting,48,ICU类型,SICU,0.1029612883717615,524,0.14694656488549618,0.8904384206397629,0.6376718287802284,0.08289485827475267,0.2728556795866778,0.8441558441558441,0.7315436241610739,0.35135135135135137,0.4961832061068702
hist_gradient_boosting,48,性别,女性,0.1029612883717615,772,0.1489637305699482,0.8666799020581033,0.5722181155247166,0.0907173697197262,0.29512291722949896,0.8608695652173913,0.7016742770167428,0.33559322033898303,0.48292682926829267
hist_gradient_boosting,48,性别,男性,0.1029612883717615,1025,0.1375609756097561,0.8935287699367799,0.6184033435844921,0.07950642002215887,0.2603108815460969,0.8368794326241135,0.752262443438914,0.35014836795252224,0.49372384937238495
hist_gradient_boosting,48,性别,未知,0.1029612883717615,3,0.0,,,,,,,,
hist_gradient_boosting,48,年龄,<45岁,0.1029612883717615,215,0.07441860465116279,0.9076633165829147,0.6268857969756838,0.04422424861869283,0.1628707245460615,0.8125,0.8391959798994975,0.28888888888888886,0.4262295081967213
hist_gradient_boosting,48,年龄,45–64岁,0.1029612883717615,581,0.09294320137693632,0.9205144423360742,0.6141454948923023,0.0529305478767204,0.18578599782611566,0.8518518518518519,0.7912713472485768,0.2948717948717949,0.4380952380952381
hist_gradient_boosting,48,年龄,65–79岁,0.1029612883717615,595,0.15126050420168066,0.8522992299229923,0.5370682266309552,0.09789371438699541,0.31198977563436464,0.8555555555555555,0.7069306930693069,0.3422222222222222,0.4888888888888889
hist_gradient_boosting,48,年龄,≥80岁,0.1029612883717615,409,0.23471882640586797,0.836528221512247,0.6343459993183059,0.12983005291738287,0.4071248017842136,0.84375,0.5942492012779552,0.3894230769230769,0.5328947368421053
logistic,6,ICU类型,CCU,0.1306091259173907,277,0.17328519855595667,0.7310771470160117,0.4014868180775514,0.12895304142139252,0.4393648121010658,0.6041666666666666,0.759825327510917,0.34523809523809523,0.4393939393939394
logistic,6,ICU类型,CSRU,0.1306091259173907,372,0.026881720430107527,0.8790055248618784,0.21229812163145498,0.02721608130316334,0.10939539481948508,0.6,0.9033149171270718,0.14634146341463414,0.23529411764705882
logistic,6,ICU类型,MICU,0.1306091259173907,627,0.19298245614035087,0.685754418057688,0.3399399859231024,0.15373477001255362,0.47315735093093764,0.7768595041322314,0.5118577075098815,0.2756598240469208,0.4069264069264069
logistic,6,ICU类型,SICU,0.1306091259173907,524,0.14694656488549618,0.7837241058717569,0.41188577576860286,0.10633288885117927,0.3491342628249424,0.7532467532467533,0.6912751677852349,0.29591836734693877,0.4249084249084249
logistic,6,性别,女性,0.1306091259173907,772,0.1489637305699482,0.7314142015750116,0.29369709257126175,0.12328013716495542,0.39371812969517117,0.7043478260869566,0.6514459665144596,0.26129032258064516,0.3811764705882353
logistic,6,性别,男性,0.1306091259173907,1025,0.1375609756097561,0.7981290715959052,0.414385142075685,0.10027516207997973,0.32980409744209155,0.75177304964539,0.7217194570135747,0.30113636363636365,0.4300202839756592
logistic,6,性别,未知,0.1306091259173907,3,0.0,,,,,,,,
logistic,6,年龄,<45岁,0.1306091259173907,215,0.07441860465116279,0.7569095477386936,0.24907522846625796,0.06487429393582105,0.23717548425555451,0.5,0.8391959798994975,0.2,0.2857142857142857
logistic,6,年龄,45–64岁,0.1306091259173907,581,0.09294320137693632,0.7694848548738491,0.3119203000887372,0.07774314287221765,0.27352865332072346,0.6111111111111112,0.7571157495256167,0.20496894409937888,0.30697674418604654
logistic,6,年龄,65–79岁,0.1306091259173907,595,0.15126050420168066,0.7563916391639164,0.3956239594463642,0.11328263482516285,0.369372671943292,0.7333333333333333,0.6554455445544555,0.275,0.4
logistic,6,年龄,≥80岁,0.1306091259173907,409,0.23471882640586797,0.7082334930777423,0.35586269894473727,0.17465672945833657,0.5191333400446654,0.8333333333333334,0.549520766773163,0.36199095022624433,0.5047318611987381
