stage,model,preprocess,fold,fit_seconds,n,prevalence,auroc,auprc,brier,log_loss
24h_train_cv,hist_gradient_boosting,raw_median_indicator,1,2.461762599996291,1680,0.14226190476190476,0.8299182053374137,0.47819873459844886,0.09620325791501601,0.31489887999030736
24h_train_cv,hist_gradient_boosting,raw_median_indicator,2,2.300655899976846,1680,0.14226190476190476,0.8236609281676196,0.4258542286519641,0.0998867214697348,0.32265762058404246
24h_train_cv,hist_gradient_boosting,raw_median_indicator,3,2.4366525000077672,1680,0.14226190476190476,0.8417765440666205,0.48287997051043746,0.09515235801519231,0.3085707475287658
24h_train_cv,hist_gradient_boosting,raw_median_indicator,4,1.9886078999843448,1680,0.14226190476190476,0.8457138377289133,0.4874668142422691,0.09480321750680872,0.3083506951714283
24h_train_cv,hist_gradient_boosting,raw_median_indicator,5,3.2008996999938972,1680,0.14226190476190476,0.841756218804352,0.48164879929312965,0.09524761015189534,0.30899207050566574
24h_train_cv,hist_gradient_boosting,raw_mean_indicator,1,1.999915599997621,1680,0.14226190476190476,0.8210941379040008,0.4703449149785205,0.09738308168485464,0.3200214301162965
24h_train_cv,hist_gradient_boosting,raw_mean_indicator,2,2.1980233000358567,1680,0.14226190476190476,0.8240645298040935,0.41437294368836247,0.10001001847783768,0.32307629540190924
24h_train_cv,hist_gradient_boosting,raw_mean_indicator,3,1.9974251000094227,1680,0.14226190476190476,0.8389745614824665,0.473282973453962,0.09601782615155376,0.31318393063344385
24h_train_cv,hist_gradient_boosting,raw_mean_indicator,4,3.2886518000159413,1680,0.14226190476190476,0.8450343932473671,0.48011516980553226,0.0953063836823661,0.31012125723427464
24h_train_cv,hist_gradient_boosting,raw_mean_indicator,5,3.299186800024472,1680,0.14226190476190476,0.8338729206530798,0.46911234967963095,0.0967133896685555,0.3143029331142594
24h_train_cv,hist_gradient_boosting,raw_native_missing,1,1.644240900001023,1680,0.14226190476190476,0.8219884494438138,0.44396892490814654,0.09876643190358707,0.3234552151521816
24h_train_cv,hist_gradient_boosting,raw_native_missing,2,2.04767030000221,1680,0.14226190476190476,0.8236783498209925,0.4286962742190682,0.09977855931690506,0.3224811696428101
24h_train_cv,hist_gradient_boosting,raw_native_missing,3,2.069307000027038,1680,0.14226190476190476,0.8398688730222793,0.47336105942802875,0.09558460869910712,0.31111175734329305
24h_train_cv,hist_gradient_boosting,raw_native_missing,4,1.5417723000282422,1680,0.14226190476190476,0.8454496093194231,0.4710650541566337,0.09570034677843846,0.3099747589076328
24h_train_cv,hist_gradient_boosting,raw_native_missing,5,2.772409500030335,1680,0.14226190476190476,0.8412742197276996,0.46476183193540527,0.09616374562517724,0.31115946421896434
24h_train_cv,hist_gradient_boosting,raw_winsor_median_indicator,1,4.4097673000069335,1680,0.14226190476190476,0.8315616479722647,0.4806973889010802,0.0960346954302363,0.3138555129609298
24h_train_cv,hist_gradient_boosting,raw_winsor_median_indicator,2,2.2852066999766976,1680,0.14226190476190476,0.819099358592795,0.4080525900195144,0.10088136314654218,0.32613358467413034
24h_train_cv,hist_gradient_boosting,raw_winsor_median_indicator,3,2.280212199955713,1680,0.14226190476190476,0.8386551645039619,0.4669075909238513,0.09623911659146761,0.31226189745623195
24h_train_cv,hist_gradient_boosting,raw_winsor_median_indicator,4,2.6572183999815024,1680,0.14226190476190476,0.8451418267765005,0.4843735870137311,0.09496090193700495,0.3079208460420605
24h_train_cv,hist_gradient_boosting,raw_winsor_median_indicator,5,3.2592542999773286,1680,0.14226190476190476,0.8409548227491949,0.47216442259086955,0.09574925996244141,0.3100668138291612
24h_train_cv,hist_gradient_boosting,clean_median_indicator,1,1.714226600015536,1680,0.14226190476190476,0.8271655841044835,0.46656374276663765,0.0972659893799258,0.3183561813652493
24h_train_cv,hist_gradient_boosting,clean_median_indicator,2,2.2639804999926127,1680,0.14226190476190476,0.8229001826369995,0.421898931893661,0.09979828816254481,0.3229808596465307
24h_train_cv,hist_gradient_boosting,clean_median_indicator,3,2.3323768999543972,1680,0.14226190476190476,0.8389193929134522,0.4580287803223876,0.09662872803239737,0.3126978459316403
24h_train_cv,hist_gradient_boosting,clean_median_indicator,4,2.421459900040645,1680,0.14226190476190476,0.8529060769630573,0.4902041126534869,0.09394484591854475,0.3051274193075523
