model,preprocess,horizon_hours,training_population,evaluation_subset,threshold,n,prevalence,auroc,auprc,brier,log_loss,sensitivity,specificity,precision,f1
logistic,clean_winsor_median_indicator,48,all_official_labels,exclude_hard_and_death_gap_gt2,0.11113725370694767,1734,0.10957324106113034,0.8616171257158439,0.4839841155879762,0.07690313108140068,0.2559290163896467,0.7789473684210526,0.758419689119171,0.2840690978886756,0.41631504922644164
logistic,clean_winsor_median_indicator,48,all_official_labels,exclude_hard_and_death_gap_gt5,0.11113725370694767,1763,0.12422007941009643,0.8614255802399035,0.50309458061242,0.08353502903465024,0.27438203661960975,0.7899543378995434,0.758419689119171,0.31684981684981683,0.4522875816993464
logistic,clean_winsor_median_indicator,48,all_official_labels,exclude_hard_and_death_gap_gt10,0.11113725370694767,1777,0.13111986494091166,0.8594476194711913,0.5163908443897185,0.0866572011754422,0.28429894225295627,0.7939914163090128,0.758419689119171,0.33154121863799285,0.46776232616940583
logistic,clean_winsor_median_indicator,48,exclude_hard_rule_anomalies,exclude_hard_rule_anomalies,0.1273556519131689,1790,0.13743016759776536,0.8586661190446101,0.5214111848354004,0.08992013848530767,0.29331298986590865,0.7479674796747967,0.7862694300518135,0.35797665369649806,0.4842105263157895
logistic,clean_winsor_median_indicator,48,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt2,0.1273556519131689,1734,0.10957324106113034,0.8635567221161713,0.47622739125120145,0.0768260149036228,0.25457706822532644,0.7631578947368421,0.7862694300518135,0.30526315789473685,0.43609022556390975
logistic,clean_winsor_median_indicator,48,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt5,0.1273556519131689,1763,0.12422007941009643,0.8626972579080606,0.49682045822102167,0.083633410888999,0.2738123831032626,0.7579908675799086,0.7862694300518135,0.3346774193548387,0.4643356643356643
logistic,clean_winsor_median_indicator,48,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt10,0.1273556519131689,1777,0.13111986494091166,0.8609597722875759,0.5099034816101263,0.08675253890540606,0.2836949336390523,0.759656652360515,0.7862694300518135,0.34911242603550297,0.4783783783783784
hist_gradient_boosting,raw_median,6,all_official_labels,all_test,0.19290997301235388,1800,0.14222222222222222,0.8039512831930052,0.38566012163433816,0.10373524509883005,0.3342169768107822,0.59765625,0.8121761658031088,0.345372460496614,0.43776824034334766
hist_gradient_boosting,raw_median,6,all_official_labels,exclude_hard_rule_anomalies,0.19290997301235388,1790,0.13743016759776536,0.804288301950377,0.3727778835105111,0.10127867124055812,0.32746624006889347,0.5934959349593496,0.8121761658031088,0.3348623853211009,0.4281524926686217
hist_gradient_boosting,raw_median,6,all_official_labels,exclude_hard_and_death_gap_gt2,0.19290997301235388,1734,0.10957324106113034,0.8134135533133352,0.3308769866835906,0.08528928850542354,0.28475633199608175,0.6105263157894737,0.8121761658031088,0.2857142857142857,0.38926174496644295
hist_gradient_boosting,raw_median,6,all_official_labels,exclude_hard_and_death_gap_gt5,0.19290997301235388,1763,0.12422007941009643,0.8126286464617787,0.35473397601696166,0.09341086544037785,0.30547299273338013,0.6073059360730594,0.8121761658031088,0.3144208037825059,0.4143302180685358
hist_gradient_boosting,raw_median,6,all_official_labels,exclude_hard_and_death_gap_gt10,0.19290997301235388,1777,0.13111986494091166,0.80815673019191,0.3618023359894008,0.097672535836922,0.31716344038756655,0.5965665236051502,0.8121761658031088,0.32400932400932403,0.4199395770392749
hist_gradient_boosting,raw_median,6,exclude_hard_rule_anomalies,exclude_hard_rule_anomalies,0.15638521138272896,1790,0.13743016759776536,0.7984724503980791,0.363594814266421,0.10248785229337998,0.33152328521706154,0.6626016260162602,0.7551813471502591,0.30129390018484287,0.4142312579415502
hist_gradient_boosting,raw_median,6,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt2,0.15638521138272896,1734,0.10957324106113034,0.8115864466866648,0.3287946270758142,0.08532129975258805,0.2856868294737087,0.6842105263157895,0.7551813471502591,0.2559055118110236,0.37249283667621774
hist_gradient_boosting,raw_median,6,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt5,0.15638521138272896,1763,0.12422007941009643,0.8067197813897367,0.34836911105036894,0.09415615497434926,0.3087387400223309,0.6757990867579908,0.7551813471502591,0.2813688212927757,0.39731543624161075
hist_gradient_boosting,raw_median,6,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt10,0.15638521138272896,1777,0.13111986494091166,0.8026696168471613,0.3537476664294108,0.0986445698652477,0.32070087643416917,0.6695278969957081,0.7551813471502591,0.29213483146067415,0.4067796610169492
hist_gradient_boosting,raw_median,12,all_official_labels,all_test,0.12005757288783397,1800,0.14222222222222222,0.8293292584196892,0.42086138069774465,0.09961536323524793,0.3214055677696154,0.8125,0.6787564766839378,0.29545454545454547,0.43333333333333335
hist_gradient_boosting,raw_median,12,all_official_labels,exclude_hard_rule_anomalies,0.12005757288783397,1790,0.13743016759776536,0.8296869076203716,0.40826823842286386,0.0974242076945727,0.3153683526491394,0.8130081300813008,0.6787564766839378,0.28735632183908044,0.42462845010615713
hist_gradient_boosting,raw_median,12,all_official_labels,exclude_hard_and_death_gap_gt2,0.12005757288783397,1734,0.10957324106113034,0.8418564221434415,0.36890364639141304,0.08204465120648859,0.27391960779118263,0.8421052631578947,0.6787564766839378,0.24390243902439024,0.37825059101654845
hist_gradient_boosting,raw_median,12,all_official_labels,exclude_hard_and_death_gap_gt5,0.12005757288783397,1763,0.12422007941009643,0.8394018974613765,0.3905304281375916,0.08996792310456528,0.2941766447746826,0.8356164383561644,0.6787564766839378,0.2695139911634757,0.40757238307349664
hist_gradient_boosting,raw_median,12,all_official_labels,exclude_hard_and_death_gap_gt10,0.12005757288783397,1777,0.13111986494091166,0.8309363116813804,0.3970081664368745,0.0942335095729414,0.3067036063210878,0.8154506437768241,0.6787564766839378,0.27696793002915454,0.4134929270946681
hist_gradient_boosting,raw_median,12,exclude_hard_rule_anomalies,exclude_hard_rule_anomalies,0.12499331058392638,1790,0.13743016759776536,0.8239447744218376,0.39800035602628286,0.09890959433097524,0.31980139012676295,0.8008130081300813,0.6962435233160622,0.2957957957957958,0.43201754385964913
hist_gradient_boosting,raw_median,12,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt2,0.12499331058392638,1734,0.10957324106113034,0.8321788928279247,0.34925233053319055,0.0833779024078754,0.2783315953491203,0.8210526315789474,0.6962435233160622,0.2496,0.38282208588957056
hist_gradient_boosting,raw_median,12,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt5,0.12499331058392638,1763,0.12422007941009643,0.830905316204131,0.3750417298082735,0.09151989098195336,0.2991246451289916,0.821917808219178,0.6962435233160622,0.2773497688751926,0.4147465437788018
hist_gradient_boosting,raw_median,12,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt10,0.12499331058392638,1777,0.13111986494091166,0.8239398252129245,0.3840474120290187,0.09573676467770376,0.3113398187955593,0.8025751072961373,0.6962435233160622,0.2850609756097561,0.42069741282339707
hist_gradient_boosting,raw_median,24,all_official_labels,all_test,0.10276947501231491,1800,0.14222222222222222,0.8555851279145079,0.5236636518582753,0.0920183485052239,0.2988636540582135,0.84765625,0.6787564766839378,0.30434782608695654,0.44788441692466463
hist_gradient_boosting,raw_median,24,all_official_labels,exclude_hard_rule_anomalies,0.10276947501231491,1790,0.13743016759776536,0.8555225578162519,0.5035403312213554,0.09070467806405438,0.294485638502496,0.8495934959349594,0.6787564766839378,0.29645390070921984,0.4395373291272345
hist_gradient_boosting,raw_median,24,all_official_labels,exclude_hard_and_death_gap_gt2,0.10276947501231491,1734,0.10957324106113034,0.858931006272157,0.45972062975895345,0.07710388484818394,0.25827228621265863,0.8526315789473684,0.6787564766839378,0.24620060790273557,0.38207547169811323
hist_gradient_boosting,raw_median,24,all_official_labels,exclude_hard_and_death_gap_gt5,0.10276947501231491,1763,0.12422007941009643,0.8578885418884709,0.4775148319500693,0.08455811383011623,0.27746901605786384,0.8538812785388128,0.6787564766839378,0.27379209370424595,0.4146341463414634
hist_gradient_boosting,raw_median,24,all_official_labels,exclude_hard_and_death_gap_gt10,0.10276947501231491,1777,0.13111986494091166,0.8538243011852611,0.4878308064280098,0.08820888233827338,0.28799919075422165,0.8454935622317596,0.6787564766839378,0.2842712842712843,0.42548596112311016
hist_gradient_boosting,raw_median,24,exclude_hard_rule_anomalies,exclude_hard_rule_anomalies,0.15129412950904897,1790,0.13743016759776536,0.8446964910063609,0.454514948101001,0.09398531305278916,0.304775838882252,0.7398373983739838,0.7681347150259067,0.337037037037037,0.4631043256997455
hist_gradient_boosting,raw_median,24,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt2,0.15129412950904897,1734,0.10957324106113034,0.8484626397600218,0.40437999182807105,0.07949128564037512,0.2667963895593658,0.7368421052631579,0.7681347150259067,0.28112449799196787,0.4069767441860465
hist_gradient_boosting,raw_median,24,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt5,0.15129412950904897,1763,0.12422007941009643,0.8472034920860244,0.4261873392609151,0.08736035641953159,0.2869294134266197,0.7442922374429224,0.7681347150259067,0.31285988483685223,0.44054054054054054
hist_gradient_boosting,raw_median,24,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt10,0.15129412950904897,1777,0.13111986494091166,0.8445373479508106,0.4405164046709674,0.09098308068664607,0.29688801222845707,0.7339055793991416,0.7681347150259067,0.32325141776937616,0.44881889763779526
hist_gradient_boosting,raw_median,48,all_official_labels,all_test,0.1029612883717615,1800,0.14222222222222222,0.8815222231217616,0.5924611100196372,0.08422672970714742,0.2750593505258704,0.84765625,0.7299222797927462,0.3422712933753943,0.48764044943820223
hist_gradient_boosting,raw_median,48,all_official_labels,exclude_hard_rule_anomalies,0.1029612883717615,1790,0.13743016759776536,0.8785016218037828,0.5700921186953742,0.08346727791215913,0.27288885950067077,0.8455284552845529,0.7299222797927462,0.3328,0.47761194029850745
hist_gradient_boosting,raw_median,48,all_official_labels,exclude_hard_and_death_gap_gt2,0.1029612883717615,1734,0.10957324106113034,0.8820118625579494,0.5271112733330479,0.07075396118145703,0.23813955223856045,0.8421052631578947,0.7299222797927462,0.2772963604852686,0.4172099087353325
hist_gradient_boosting,raw_median,48,all_official_labels,exclude_hard_and_death_gap_gt5,0.1029612883717615,1763,0.12422007941009643,0.8792408971538079,0.5466618605269692,0.07779114804622393,0.2573302744429739,0.8356164383561644,0.7299222797927462,0.305,0.4468864468864469
hist_gradient_boosting,raw_median,48,all_official_labels,exclude_hard_and_death_gap_gt10,0.1029612883717615,1777,0.13111986494091166,0.876453779270164,0.5544161797788814,0.08129150931745104,0.26718324005076094,0.8412017167381974,0.7299222797927462,0.3197389885807504,0.46335697399527187
hist_gradient_boosting,raw_median,48,exclude_hard_rule_anomalies,exclude_hard_rule_anomalies,0.1309688751117831,1790,0.13743016759776536,0.8749262816462362,0.5573937217399109,0.08495912149241402,0.27693899521155013,0.7764227642276422,0.780440414507772,0.360377358490566,0.49226804123711343
hist_gradient_boosting,raw_median,48,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt2,0.1309688751117831,1734,0.10957324106113034,0.8778088355604036,0.5076870570766677,0.07216075959909682,0.24192185710053102,0.7842105263157895,0.780440414507772,0.305327868852459,0.43952802359882004
hist_gradient_boosting,raw_median,48,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt5,0.1309688751117831,1763,0.12422007941009643,0.8762125298696384,0.527830684072648,0.07924892594208718,0.2609438271008338,0.771689497716895,0.780440414507772,0.33267716535433073,0.4649243466299862
hist_gradient_boosting,raw_median,48,exclude_hard_rule_anomalies,exclude_hard_and_death_gap_gt10,0.1309688751117831,1777,0.13111986494091166,0.8726400409170761,0.5389444884148654,0.08280547990701709,0.2713336618873577,0.7682403433476395,0.780440414507772,0.34555984555984554,0.4766977363515313
